OBJECTID;Join_Count;TARGET_FID;CODIGO;NOMBRE;IDENTIFICA;SHAPE_Leng;fecha_hecho;año;mes;dia;hora;dia_semana;cantidad;latitud;longitud;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida;Shape_Length;Shape_Area
231;99;230;1019;La Candelaria;1019;3613.5279;01apr2005 16:30:00;2005;4;1;30dec1899 16:30:00;;1;6.25336;-75.569276;Hombre;24;UniÃ³n marital de hecho;Delincuencia;;;Comerciante;;;;;;Extorsion;;;;;;;La Candelaria;1019;10;;;;;;;;;;3613.5279;649228.66
188;60;187;1007;Guayaquil;1007;2553.796;22aug2011 09:59:59;2011;8;22;30dec1899 10:00:00;;1;6.246647;-75.570799;Hombre;38;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Guayaquil;1007;10;;;;;;;;;;2553.796;318201.42
257;45;256;511;Castilla;511;2971.1394;30/11/2012 15:59;2012;11;30;30dec1899 16:00:00;;1;6.289003;-75.574418;Hombre;41;Casado(a);Delincuencia;;;Profesional;;;;;;Extorsion;Directa;;;;;;Castilla;511;5;;;;;;;;;;2971.1394;552601.73
131;41;130;1310;Veinte de Julio;1310;3851.274;03/03/2006 15:00;2006;3;3;30dec1899 15:00:00;;1;6.253792;-75.617079;Hombre;28;UniÃ³n marital de hecho;Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Veinte de Julio;1310;13;;;;;;;;;;3851.274;381831.59
255;39;254;1309;San Javier No.1;1309;2338.2004;10/07/2009 18:00;2009;7;10;30dec1899 18:00:00;;1;6.255747;-75.614224;Mujer;17;Soltero(a);Delincuencia;;;Habitante de la calle;;;;;;Extorsion;Miedo o terror;;;;;;San Javier No.1;1309;13;;;;;;;;;;2338.2004;227533.18
26;35;25;1008;Corazón de Jesús;1008;2394.2053;21/03/2012 18:00;2012;3;21;30dec1899 18:00:00;;1;6.247732;-75.57771;Mujer;21;UniÃ³n marital de hecho;Delincuencia;;;Conductor;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;CorazÃ³n de JesÃºs;1008;10;;;;;;;;;;2394.2053;330239.7
46;33;45;1001;Prado;1001;3461.069;18dec2009 15:59:59;2009;12;18;30dec1899 16:00:00;;1;6.25737;-75.564105;Hombre;56;UniÃ³n marital de hecho;Delincuencia;;;Profesional;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Prado;1001;10;;;;;;;;;;3461.069;624440.24
100;30;99;1603;Belén;1603;4322.9167;15/05/2007 15:59;2007;5;15;30dec1899 16:00:00;;1;6.232926;-75.596808;Mujer;76;Viudo(a);Delincuencia;;;Ama de casa;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;BelÃ©n;1603;16;;;;;;;;;;4322.9167;534932.71
127;30;126;1006;San Benito;1006;3294.4692;30aug2012 22:30:00;2012;8;30;30dec1899 22:30:00;;1;6.252613;-75.573852;Hombre;19;UniÃ³n marital de hecho;Delincuencia;;;Comerciante;;;;;;Extorsion;;;;;;;San Benito;1006;10;;;;;;;;;;3294.4692;493350.65
137;30;136;1108;Laureles;1108;3847.1116;01/09/2007 15:59;2007;9;1;30dec1899 16:00:00;;1;6.247282;-75.597398;Mujer;30;Viudo(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Miedo o terror;;;;;;Laureles;1108;11;;;;;;;;;;3847.1116;707014.33
140;30;139;1205;La Floresta;1205;2734.2236;22/09/2010 17:00;2010;9;22;30dec1899 17:00:00;;1;6.256379;-75.603954;Hombre;39;UniÃ³n marital de hecho;Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;La Floresta;1205;12;;;;;;;;;;2734.2236;422571.89
142;30;141;1016;Boston;1016;3120.2814;16/05/2006 11:00;2006;5;16;30dec1899 11:00:00;;1;6.249413;-75.558774;Hombre;63;;Delincuencia;;;Pensionado/jubilado;;;;;;Extorsion;Miedo o terror;;;;;;Boston;1016;10;;;;;;;;;;3120.2814;535705.98
156;30;155;1105;Los Conquistadores;1105;3824.5405;21/05/2011 9:59;2011;5;21;30dec1899 10:00:00;;1;6.240885;-75.58543;Hombre;27;Soltero(a);Delincuencia;;;Transportador/distribuidor de alimentos y/o carga;;;;;;Extorsion;Directa;;;;;;Los Conquistadores;1105;11;;;;;;;;;;3824.5405;683261.01
94;28;93;1308;San Javier No.2;1308;1766.8625;21/05/2011 20:03;2011;5;21;30dec1899 20:04:00;;1;6.257672;-75.614447;;-1;;Delincuencia;;;;;;;;;Extorsion;Directa;;;;;;San Javier No.2;1308;13;;;;;;;;;;1766.8625;151082.92
269;28;268;1613;Altavista;1613;4755.8532;08/09/2011 14:00;2011;9;8;30dec1899 14:00:00;;1;6.222388;-75.609471;Mujer;26;Soltero(a);Delincuencia;;;Profesional;;;;;;Extorsion;;;;;;;Altavista;1613;16;;;;;;;;;;4755.8532;403435.81
84;27;83;1610;El Rincón;1610;5063.3863;03/11/2010 18:00;2010;11;3;30dec1899 18:00:00;;1;6.213618;-75.601063;Hombre;40;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Carcelaria;;;;;;El RincÃ³n;1610;16;;;;;;;;;;5063.3863;662338.31
7;26;6;605;La Esperanza;605;2711.2331;10dec2008 15:59:59;2008;12;10;30dec1899 16:00:00;;1;6.289722;-75.578678;Hombre;71;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;La Esperanza;605;6;;;;;;;;;;2711.2331;405382.73
192;26;191;1306;La Pradera;1306;3089.0824;01/03/2008 9:00;2008;3;1;30dec1899 09:00:00;;1;6.262244;-75.610367;Hombre;41;Casado(a);Delincuencia;;;Transportador/distribuidor de alimentos y/o carga;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;La Pradera;1306;13;;;;;;;;;;3089.0824;350934.27
181;25;180;1605;San Bernardo;1605;3599.9673;16dec2008 21:00:00;2008;12;16;30dec1899 21:00:00;;1;6.225183;-75.592988;Hombre;49;Casado(a);Delincuencia;;;Pensionado/jubilado;;;;;;Extorsion;Miedo o terror;;;;;;San Bernardo;1605;16;;;;;;;;;;3599.9673;567858.04
228;25;227;1114;Los Colores;1114;3938.7187;04/06/2008 9:45;2008;6;4;30dec1899 09:45:00;;1;6.266302;-75.59282;Mujer;53;Viudo(a);Delincuencia;;;Ama de casa;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Los Colores;1114;11;;;;;;;;;;3938.7187;554667.72
226;24;225;509;Girardot;509;3557.1213;30/07/2010 9:59;2010;7;30;30dec1899 10:00:00;;1;6.297746;-75.567959;Mujer;-1;;Delincuencia;;;;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Girardot;509;5;;;;;;;;;;3557.1213;512886.08
155;23;154;1509;Cristo Rey;1509;4174.3949;15jan2008 09:59:59;2008;1;15;30dec1899 10:00:00;;1;6.208313;-75.586416;Hombre;38;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Miedo o terror;;;;;;Cristo Rey;1509;15;;;;;;;;;;4174.3949;759522
260;23;259;1319;El Socorro;1319;2794.8045;30/07/2010 14:49;2010;7;30;30dec1899 14:50:00;;1;6.260513;-75.61864;Hombre;48;Casado(a);Delincuencia;;;Pensionado/jubilado;;;;;;Extorsion;Directa;;;;;;El Socorro;1319;13;;;;;;;;;;2794.8045;182432.44
203;22;202;606;San Martín de Porres;606;2534.4188;12/09/2011 10:16;2011;9;12;30dec1899 10:16:00;;1;6.295846;-75.579399;;-1;;Delincuencia;;;;;;;;;Extorsion;Directa;;;;;;San MartÃ­n de Porres;606;6;;;;;;;;;;2534.4188;286864.72
259;22;258;1113;Estadio;1113;2637.0857;05/07/2008 12:59;2008;7;5;30dec1899 13:00:00;;1;6.256515;-75.59218;Mujer;25;UniÃ³n marital de hecho;Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Estadio;1113;11;;;;;;;;;;2637.0857;363921.53
45;20;44;604;Pedregal;604;3625.442;01/02/2008 15:59;2008;2;1;30dec1899 16:00:00;;1;6.297273;-75.576429;Hombre;28;Soltero(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Miedo o terror;;;;;;Pedregal;604;6;;;;;;;;;;3625.442;581057.18
175;20;174;1418;El Poblado;1418;2739.4441;13dec2012 10:19:59;2012;12;13;30dec1899 10:20:00;;1;6.20915;-75.568721;Mujer;43;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;El Poblado;1418;14;;;;;;;;;;2739.4441;261432.51
176;20;175;1503;Trinidad;1503;4372.6731;08/05/2007 15:00;2007;5;8;30dec1899 15:00:00;;1;6.223672;-75.585712;Hombre;53;Casado(a);Delincuencia;;;Empleado sector privado;;;;;;Extorsion;Carta;;;;;;Trinidad;1503;15;;;;;;;;;;4372.6731;679707.51
196;20;195;1018;Villa Nueva;1018;2341.0552;06/03/2004 13:19;2004;3;6;30dec1899 13:20:00;;1;6.252556;-75.565272;Hombre;41;;Delincuencia;;;;;;;;;Extorsion;;;;;;;Villa Nueva;1018;10;;;;;;;;;;2341.0552;300243.06
27;19;26;907;Buenos Aires;907;2357.9635;06/02/2015 0:00;2015;2;6;30dec1899 00:00:00;;1;6.2422462;-75.555905;Hombre;28;Soltero(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Buenos Aires;907;9;;;;;;;;;;2357.9635;293164.43
110;19;109;504;Tejelo;504;3434.8019;04/09/2011 14:19;2011;9;4;30dec1899 14:20:00;;1;6.308338;-75.570836;;-1;;Delincuencia;;;;;;;;;Extorsion;Directa;;;;;;Tejelo;504;5;;;;;;;;;;3434.8019;423037.31
129;19;128;717;Robledo;717;4188.4882;08/05/2013 13:30;2013;5;8;30dec1899 13:30:00;;1;6.273985;-75.594508;Hombre;46;;Delincuencia;;;Oficios varios;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Robledo;717;7;;;;;;;;;;4188.4882;446970.27
158;19;157;1612;La Gloria;1612;3863.296;24jan2011 09:59:59;2011;1;24;30dec1899 10:00:00;;1;6.224656;-75.599557;Hombre;45;UniÃ³n marital de hecho;Delincuencia;;;Comerciante;;;;;;Extorsion;Directa;;;;;;La Gloria;1612;16;;;;;;;;;;3863.296;611237.91
185;19;184;519;El Progreso;519;2705.7433;07apr2013 09:59:59;2013;4;7;30dec1899 10:00:00;;1;6.273465;-75.579829;Hombre;35;Soltero(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Directa;;;;;;Progreso;519;5;;;;;;;;;;2705.7433;407603.22
52;18;51;1611;La Loma de Los Bernal;1611;3986.6543;20apr2012 19:30:00;2012;4;20;30dec1899 19:30:00;;1;6.214947;-75.601822;;-1;;Delincuencia;;;;;;;;;Extorsion;Directa;;;;;;La Loma de los Bernal;1611;16;;;;;;;;;;3986.6543;485033.68
64;18;63;607;Kennedy;607;2976.0392;31aug2011 14:29:59;2011;8;31;30dec1899 14:30:00;;1;6.288474;-75.579366;;-1;;Delincuencia;;;;;;;;;Extorsion;Directa;;;;;;Kennedy;607;6;;;;;;;;;;2976.0392;490943.05
89;18;88;1311;Belencito;1311;3321.4726;31aug2010 17:49:59;2010;8;31;30dec1899 17:50:00;;1;6.244851;-75.61674;Hombre;44;Casado(a);Delincuencia;;;Oficios varios;;;;;;Extorsion;Directa;;;;;;Belencito;1311;13;;;;;;;;;;3321.4726;368036.68
230;18;229;1104;San Joaquín;1104;2448.0702;21/03/2008 12:59;2008;3;21;30dec1899 13:00:00;;1;6.248298;-75.586488;Mujer;29;Soltero(a);Delincuencia;;;Profesional;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;San JoaquÃ­n;1104;11;;;;;;;;;;2448.0702;328394.41
235;18;234;1013;Barrio Colón;1013;3426.3573;28/10/2004 12:00;2004;10;28;30dec1899 12:00:00;;1;6.243849;-75.564749;Hombre;33;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;;;;;;;Barrio ColÃ³n;1013;10;;;;;;;;;;3426.3573;358187.96
17;17;16;1602;Rosales;1602;3271.9082;03/02/2009 11:00;2009;2;3;30dec1899 11:00:00;;1;6.232209;-75.590564;Hombre;47;;Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Rosales;1602;16;;;;;;;;;;3271.9082;605072.4
18;17;17;1507;Campo Amor;1507;4274.8227;07jan2015 14:00:00;2015;1;7;30dec1899 14:00:00;;1;6.2166927;-75.581334;Hombre;54;UniÃ³n marital de hecho;Delincuencia;;;Empleado sector privado;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Campo Amor;1507;15;;;;;;;;;;4274.8227;1037057.6
65;17;64;1504;Santa Fé;1504;5658.8829;05/11/2009 15:59;2009;11;5;30dec1899 16:00:00;;1;6.219368;-75.580509;Mujer;34;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Miedo o terror;;;;;;Santa FÃ©;1504;15;;;;;;;;;;5658.8829;1025085
91;17;90;1211;Simón Bolívar;1211;2391.5276;10apr2005 12:00:00;2005;4;10;30dec1899 12:00:00;;1;6.24429;-75.606828;Hombre;41;Casado(a);Delincuencia;;;Asesor;;;;;;Extorsion;;;;;;;SimÃ³n BolÃ­var;1211;12;;;;;;;;;;2391.5276;291448.41
96;17;95;1107;Bolivariana;1107;2798.3535;19/05/2010 10:19;2010;5;19;30dec1899 10:20:00;;1;6.248463;-75.589701;Hombre;45;Soltero(a);Delincuencia;;;TecnÃ³logo;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Bolivariana;1107;11;;;;;;;;;;2798.3535;320999.88
99;17;98;1209;Santa Mónica;1209;2837.7604;17aug2005 12:59:59;2005;8;17;30dec1899 13:00:00;;1;6.249545;-75.611102;Mujer;31;Soltero(a);Delincuencia;;;Oficios varios;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Santa MÃ³nica;1209;12;;;;;;;;;;2837.7604;355860.08
263;17;262;Inst_17;Centro Administrativo;Inst_17;1504.1381;10/07/2015 12:00;2015;7;10;30dec1899 12:00:00;;1;6.2453454;-75.573889;Hombre;36;UniÃ³n marital de hecho;Delincuencia;;;Vendedor;;;;;;Extorsion;Directa;;;;;;Centro Administrativo;Inst_17;10;;;;;;;;;;1504.1381;136990.54
37;16;36;1204;La América;1204;3311.6605;02jan2011 12:00:00;2011;1;2;30dec1899 12:00:00;;1;6.251303;-75.607156;Hombre;57;Casado(a);Delincuencia;;;Profesional;;;;;;Extorsion;Directa;;;;;;La AmÃ©rica;1204;12;;;;;;;;;;3311.6605;358441.04
80;16;79;517;Caribe;517;3499.2791;23/09/2011 12:24;2011;9;23;30dec1899 12:24:59;;1;6.273616;-75.571866;;-1;;Delincuencia;;;;;;;;;Extorsion;Directa;;;;;;Caribe;517;5;AlmacÃ©n tienda y otro;;;;;;;;;3499.2791;601382.36
108;16;107;1011;Calle Nueva;1011;2297.5803;18/03/2013 13:31;2013;3;18;30dec1899 13:31:00;;1;6.242019;-75.57154;Hombre;47;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Calle Nueva;1011;10;;;;;;;;;;2297.5803;229172.18
111;16;110;1111;Lorena;1111;3340.5172;13/07/2008 15:00;2008;7;13;30dec1899 15:00:00;;1;6.249375;-75.60226;Hombre;35;UniÃ³n marital de hecho;Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Lorena;1111;11;;;;;;;;;;3340.5172;410861.4
121;16;120;713;Aures No.1;713;4268.5651;22aug2013 09:00:00;2013;8;22;30dec1899 09:00:00;;1;6.291445;-75.595881;Hombre;37;;Delincuencia;;;Profesional;;;;;;Extorsion;;;;;;;Aures No.1;713;7;;;;;;;;;;4268.5651;761954.45
245;16;244;712;Aures No.2;712;4419.8593;11/10/2007 10:19;2007;10;11;30dec1899 10:20:00;;1;6.291514;-75.588664;Mujer;50;Divorciado(a);Delincuencia;;;Empleado sector privado;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Aures No.2;712;7;;;;;;;;;;4419.8593;647667.65
6;15;5;808;Enciso;808;3355.663;02dec2011 16:30:00;2011;12;2;30dec1899 16:30:00;;1;6.249726;-75.554401;Mujer;31;Soltero(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Directa;;;;;;Enciso;808;8;;;;;;;;;;3355.663;335273.35
87;15;86;1003;Jesús Nazareno;1003;2627.6011;02apr2007 11:00:00;2007;4;2;30dec1899 11:00:00;;1;6.259671;-75.568411;Hombre;-1;UniÃ³n marital de hecho;Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;JesÃºs Nazareno;1003;10;;;;;;;;;;2627.6011;305187.56
126;15;125;405;Moravia;405;3857.8453;01dec2007 15:00:00;2007;12;1;30dec1899 15:00:00;;1;6.276329;-75.566798;Hombre;24;UniÃ³n marital de hecho;Delincuencia;;;Conductor;;;;;;Extorsion;Miedo o terror;;;;;;Moravia;405;4;;;;;;;;;;3857.8453;482535.27
177;15;176;1614;La Palma;1614;2477.0136;29/09/2009 15:59;2009;9;29;30dec1899 16:00:00;;1;6.229358;-75.604068;Hombre;28;Soltero(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;La Palma;1614;16;;;;;;;;;;2477.0136;334168.6
206;15;205;601;Santander;601;3281.9252;27/02/2009 16:19;2009;2;27;30dec1899 16:20:00;;1;6.309113;-75.575267;Mujer;48;Casado(a);Delincuencia;;;Comerciante;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Santander;601;6;;;;;;;;;;3281.9252;414068.61
214;15;213;1102;Suramericana;1102;3190.3659;24/10/2006 6:00;2006;10;24;30dec1899 06:00:00;;1;6.253435;-75.584755;Hombre;-1;Casado(a);Delincuencia;;;Pensionado/jubilado;;;;;;Extorsion;Llamada telefÃ³nica;;;;;;Suramericana;1102;11;;;;;;;;;;3190.3659;488003.72
